,Unnamed: 0,user_id,item_id,rating,time,title,type_0,type_1,type_2
91,91,2,1955,4,978299200,Kramer Vs. Kramer (1979),Drama, , 
92,92,2,235,3,978299351,Ed Wood (1994),Comedy, , 
93,93,2,1124,5,978299418,On Golden Pond (1981),Drama, , 
94,94,2,1957,5,978298750,Chariots of Fire (1981),Drama, , 
95,95,2,163,4,978299809,Desperado (1995),Action, , 
96,96,2,21,1,978299839,Get Shorty (1995),Action, , 
97,97,2,165,3,978300002,Die Hard: With a Vengeance (1995),Action, , 
98,98,2,2321,3,978299666,Pleasantville (1998),Comedy, , 
99,99,2,1090,2,978298580,Platoon (1986),Drama, , 
100,100,2,380,5,978299809,True Lies (1994),Action, , 
101,101,2,2501,5,978298600,October Sky (1999),Drama, , 
102,102,2,349,4,978299839,Clear and Present Danger (1994),Action, , 
103,103,2,457,4,978299773,Fugitive The (1993),Action, , 
104,104,2,1096,4,978299386,Sophie's Choice (1982),Drama, , 
105,105,2,920,5,978298775,Gone with the Wind (1939),Drama, , 
106,106,2,459,3,978300002,Getaway The (1994),Action, , 
107,107,2,1527,4,978299839,Fifth Element The (1997),Action, , 
108,108,2,3418,4,978299809,Thelma & Louise (1991),Action, , 
109,109,2,1385,3,978299966,Under Siege (1992),Action, , 
110,110,2,3451,4,978298924,Guess Who's Coming to Dinner (1967),Comedy, , 
111,111,2,3095,4,978298517,Grapes of Wrath The (1940),Drama, , 
112,112,2,780,3,978299966,Independence Day (ID4) (1996),Action, , 
113,113,2,498,3,978299418,Mr. Jones (1993),Drama, , 
114,114,2,2728,3,978298881,Spartacus (1960),Drama, , 
115,115,2,2002,5,978300100,Lethal Weapon 3 (1992),Action, , 
116,116,2,1962,5,978298813,Driving Miss Daisy (1989),Drama, , 
117,117,2,1784,5,978298841,As Good As It Gets (1997),Comedy, , 
118,118,2,2943,4,978298372,Indochine (1992),Drama, , 
119,119,2,2006,3,978299861,Mask of Zorro The (1998),Action, , 
120,120,2,318,5,978298413,Shawshank Redemption The (1994),Drama, , 
121,121,2,1207,4,978298478,To Kill a Mockingbird (1962),Drama, , 
122,122,2,1968,2,978298881,Breakfast Club The (1985),Comedy, , 
123,123,2,3678,3,978299250,Man with the Golden Arm The (1955),Drama, , 
124,124,2,1244,3,978299143,Manhattan (1979),Comedy, , 
125,125,2,356,5,978299686,Forrest Gump (1994),Comedy, , 
126,126,2,1245,2,978299200,Miller's Crossing (1990),Drama, , 
127,127,2,1246,5,978299418,Dead Poets Society (1989),Drama, , 
128,128,2,3893,1,978299535,Nurse Betty (2000),Comedy, , 
129,129,2,1247,5,978298652,Graduate The (1967),Drama, , 
